Ward,Day,Time,Demand,DemandType
Ward 1,Sunday,00:00:00,93,High Demand
Ward 1,Sunday,01:00:00,93,High Demand
Ward 1,Sunday,02:00:00,101,High Demand
Ward 1,Sunday,03:00:00,93,High Demand
Ward 1,Sunday,04:00:00,86,Medium Demand
Ward 1,Sunday,05:00:00,88,Medium Demand
Ward 1,Sunday,06:00:00,180,High Demand
Ward 1,Sunday,07:00:00,194,High Demand
Ward 1,Sunday,08:00:00,180,High Demand
Ward 1,Sunday,09:00:00,200,High Demand
Ward 1,Sunday,10:00:00,150,High Demand
Ward 1,Sunday,11:00:00,156,High Demand
Ward 1,Sunday,12:00:00,151,High Demand
Ward 1,Sunday,13:00:00,139,High Demand
Ward 1,Sunday,14:00:00,159,High Demand
Ward 1,Sunday,15:00:00,147,High Demand
Ward 1,Sunday,16:00:00,150,High Demand
Ward 1,Sunday,17:00:00,215,High Demand
Ward 1,Sunday,18:00:00,229,High Demand
Ward 1,Sunday,19:00:00,257,High Demand
Ward 1,Sunday,20:00:00,220,High Demand
Ward 1,Sunday,21:00:00,98,High Demand
Ward 1,Sunday,22:00:00,88,Medium Demand
Ward 1,Sunday,23:00:00,78,Medium Demand
Ward 1,Monday,00:00:00,77,Medium Demand
Ward 1,Monday,01:00:00,81,Medium Demand
Ward 1,Monday,02:00:00,78,Medium Demand
Ward 1,Monday,03:00:00,86,Medium Demand
Ward 1,Monday,04:00:00,72,Medium Demand
Ward 1,Monday,05:00:00,66,Medium Demand
Ward 1,Monday,06:00:00,155,High Demand
Ward 1,Monday,07:00:00,178,High Demand
Ward 1,Monday,08:00:00,165,High Demand
Ward 1,Monday,09:00:00,170,High Demand
Ward 1,Monday,10:00:00,140,High Demand
Ward 1,Monday,11:00:00,129,High Demand
Ward 1,Monday,12:00:00,131,High Demand
Ward 1,Monday,13:00:00,138,High Demand
Ward 1,Monday,14:00:00,130,High Demand
Ward 1,Monday,15:00:00,124,High Demand
Ward 1,Monday,16:00:00,137,High Demand
Ward 1,Monday,17:00:00,198,High Demand
Ward 1,Monday,18:00:00,212,High Demand
Ward 1,Monday,19:00:00,215,High Demand
Ward 1,Monday,20:00:00,223,High Demand
Ward 1,Monday,21:00:00,87,Medium Demand
Ward 1,Monday,22:00:00,71,Medium Demand
Ward 1,Monday,23:00:00,70,Medium Demand
Ward 1,Tuesday,00:00:00,71,Medium Demand
Ward 1,Tuesday,01:00:00,71,Medium Demand
Ward 1,Tuesday,02:00:00,87,Medium Demand
Ward 1,Tuesday,03:00:00,88,Medium Demand
Ward 1,Tuesday,04:00:00,85,Medium Demand
Ward 1,Tuesday,05:00:00,94,High Demand
Ward 1,Tuesday,06:00:00,157,High Demand
Ward 1,Tuesday,07:00:00,168,High Demand
Ward 1,Tuesday,08:00:00,173,High Demand
Ward 1,Tuesday,09:00:00,174,High Demand
Ward 1,Tuesday,10:00:00,130,High Demand
Ward 1,Tuesday,11:00:00,130,High Demand
Ward 1,Tuesday,12:00:00,125,High Demand
Ward 1,Tuesday,13:00:00,131,High Demand
Ward 1,Tuesday,14:00:00,136,High Demand
Ward 1,Tuesday,15:00:00,124,High Demand
Ward 1,Tuesday,16:00:00,126,High Demand
Ward 1,Tuesday,17:00:00,208,High Demand
Ward 1,Tuesday,18:00:00,203,High Demand
Ward 1,Tuesday,19:00:00,211,High Demand
